['02080000', 'Guard #1439 begins shift']
['10040053', 'wakes up']
['10042350', 'Guard #2903 begins shift']
['10050005', 'falls asleep']
['10050011', 'wakes up']
['10050021', 'falls asleep']
['10050051', 'wakes up']
['10060001', 'Guard #1733 begins shift']
['10060006', 'falls asleep']
['10060057', 'wakes up']
['10062351', 'Guard #887 begins shift']
['10070000', 'falls asleep']
['10070021', 'wakes up']
['10070032', 'falls asleep']
['10070035', 'wakes up']
['10070050', 'falls asleep']
['10070051', 'wakes up']
['10070054', 'falls asleep']
['10070058', 'wakes up']
['10072348', 'Guard #1223 begins shift']
['10080001', 'falls asleep']
['10080041', 'wakes up']
['10082356', 'Guard #2903 begins shift']
['10090030', 'falls asleep']
['10090041', 'wakes up']
['10090046', 'falls asleep']
['10090049', 'wakes up']
['10090052', 'falls asleep']
['10090057', 'wakes up']
['10100003', 'Guard #2251 begins shift']
['10100009', 'falls asleep']
['10100020', 'wakes up']
['10100027', 'falls asleep']
['10100045', 'wakes up']
['10100055', 'falls asleep']
['10100057', 'wakes up']
['10102352', 'Guard #2707 begins shift']
['10110002', 'falls asleep']
['10110026', 'wakes up']
['10110051', 'falls asleep']
['10110053', 'wakes up']
['10112357', 'Guard #911 begins shift']
['10120021', 'falls asleep']
['10120036', 'wakes up']
['10120046', 'falls asleep']
['10120047', 'wakes up']
['10120050', 'falls asleep']
['10120055', 'wakes up']
['10130003', 'Guard #3023 begins shift']
['10130029', 'falls asleep']
['10130058', 'wakes up']
['10140002', 'Guard #1231 begins shift']
['10140019', 'falls asleep']
['10140036', 'wakes up']
['10140039', 'falls asleep']
['10140055', 'wakes up']
['10150001', 'Guard #3121 begins shift']
['10150027', 'falls asleep']
['10150039', 'wakes up']
['10150053', 'falls asleep']
['10150054', 'wakes up']
['10160001', 'Guard #2903 begins shift']
['10160045', 'falls asleep']
['10160049', 'wakes up']
['10160056', 'falls asleep']
['10160059', 'wakes up']
['10170003', 'Guard #2753 begins shift']
['10170026', 'falls asleep']
['10170040', 'wakes up']
['10170051', 'falls asleep']
['10170054', 'wakes up']
['10180004', 'Guard #2903 begins shift']
['10180037', 'falls asleep']
['10180053', 'wakes up']
['10182356', 'Guard #1637 begins shift']
['10190051', 'falls asleep']
['10190053', 'wakes up']
['10190056', 'falls asleep']
['10190058', 'wakes up']
['10192358', 'Guard #3023 begins shift']
['10200012', 'falls asleep']
['10200048', 'wakes up']
['10202357', 'Guard #2753 begins shift']
['10210028', 'falls asleep']
['10210050', 'wakes up']
['10220003', 'Guard #2971 begins shift']
['10220028', 'falls asleep']
['10220050', 'wakes up']
['10222356', 'Guard #2903 begins shift']
['10230041', 'falls asleep']
['10230054', 'wakes up']
['10232358', 'Guard #2851 begins shift']
['10240028', 'falls asleep']
['10240043', 'wakes up']
['10250001', 'Guard #1213 begins shift']
['10250017', 'falls asleep']
['10250022', 'wakes up']
['10250044', 'falls asleep']
['10250051', 'wakes up']
['10250056', 'falls asleep']
['10250059', 'wakes up']
['10260003', 'Guard #887 begins shift']
['10260037', 'falls asleep']
['10260058', 'wakes up']
['10270001', 'Guard #1213 begins shift']
['10270010', 'falls asleep']
['10270033', 'wakes up']
['10272359', 'Guard #911 begins shift']
['10280046', 'falls asleep']
['10280051', 'wakes up']
['10282356', 'Guard #859 begins shift']
['10290053', 'falls asleep']
['10290059', 'wakes up']
['10292358', 'Guard #1213 begins shift']
['10300019', 'falls asleep']
['10300023', 'wakes up']
['10310003', 'Guard #1213 begins shift']
['10310015', 'falls asleep']
['10310020', 'wakes up']
['10310042', 'falls asleep']
['10310057', 'wakes up']
['11010004', 'Guard #2707 begins shift']
['11010021', 'falls asleep']
['11010037', 'wakes up']
['11020003', 'Guard #2251 begins shift']
['11020015', 'falls asleep']
['11020051', 'wakes up']
['11020056', 'falls asleep']
['11020057', 'wakes up']
['11030004', 'Guard #2971 begins shift']
['11030010', 'falls asleep']
['11030045', 'wakes up']
['11030056', 'falls asleep']
['11030059', 'wakes up']
['11032357', 'Guard #2707 begins shift']
['11040014', 'falls asleep']
['11040051', 'wakes up']
['11050003', 'Guard #1637 begins shift']
['11050013', 'falls asleep']
['11050049', 'wakes up']
['11060001', 'Guard #911 begins shift']
['11060016', 'falls asleep']
['11060034', 'wakes up']
['11060040', 'falls asleep']
['11060058', 'wakes up']
['11062357', 'Guard #887 begins shift']
['11070023', 'falls asleep']
['11070055', 'wakes up']
['11080000', 'Guard #1223 begins shift']
['11080013', 'falls asleep']
['11080016', 'wakes up']
['11080043', 'falls asleep']
['11080044', 'wakes up']
['11082351', 'Guard #1283 begins shift']
['11090000', 'falls asleep']
['11090033', 'wakes up']
['11090036', 'falls asleep']
['11090040', 'wakes up']
['11092359', 'Guard #2707 begins shift']
['11100009', 'falls asleep']
['11100019', 'wakes up']
['11100034', 'falls asleep']
['11100054', 'wakes up']
['11110000', 'Guard #1283 begins shift']
['11110025', 'falls asleep']
['11110043', 'wakes up']
['11110052', 'falls asleep']
['11110056', 'wakes up']
['11112357', 'Guard #1283 begins shift']
['11120029', 'falls asleep']
['11120047', 'wakes up']
['11130000', 'Guard #1733 begins shift']
['11130045', 'falls asleep']
['11130047', 'wakes up']
['11140001', 'Guard #2753 begins shift']
['11140011', 'falls asleep']
['11140051', 'wakes up']
['11142358', 'Guard #859 begins shift']
['11150011', 'falls asleep']
['11150056', 'wakes up']
['11160004', 'Guard #1439 begins shift']
['11160006', 'falls asleep']
['11160036', 'wakes up']
['11162358', 'Guard #859 begins shift']
['11170009', 'falls asleep']
['11170041', 'wakes up']
['11170048', 'falls asleep']
['11170051', 'wakes up']
['11180000', 'Guard #3323 begins shift']
['11180023', 'falls asleep']
['11180050', 'wakes up']
['11180055', 'falls asleep']
['11180058', 'wakes up']
['11182354', 'Guard #1213 begins shift']
['11190004', 'falls asleep']
['11190058', 'wakes up']
['11200000', 'Guard #911 begins shift']
['11200037', 'falls asleep']
['11200057', 'wakes up']
['11202359', 'Guard #1439 begins shift']
['11210025', 'falls asleep']
['11210057', 'wakes up']
['11212359', 'Guard #3121 begins shift']
['11220049', 'falls asleep']
['11220051', 'wakes up']
['11230004', 'Guard #1637 begins shift']
['11230022', 'falls asleep']
['11230057', 'wakes up']
